,Company Name,Overall Stars,Culture & Values,Work/Life Balance,Senior Management,Compensation & Benefits,Career Opportunities,URL
0,Hilton,4.1,4.1,3.7,3.7,3.8,4,"https://www.glassdoor.com/Overview/Working-at-Hilton-EI_IE330.11,17.htm"
1,Salesforce,4.3,4.5,4.1,4,4.4,4.2,"https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.11,21.htm"
2,"Wegmans Food Markets, Inc.",4,4.2,3.9,3.6,3.9,3.9,"https://www.glassdoor.com/Overview/Working-at-Wegmans-Food-Markets-EI_IE3042.11,31.htm"
3,Workday,4,4.1,4.2,3.8,4.1,3.7,"https://www.glassdoor.com/Overview/Working-at-Workday-EI_IE197851.11,18.htm"
4,Kimpton Hotels & Restaurants,4.4,4.5,4.1,4.2,4.1,4.3,"https://www.glassdoor.com/Overview/Working-at-Kimpton-Hotels-and-Restaurants-EI_IE9955.11,41.htm"
5,Cisco,4,4,4.2,3.5,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Cisco-Systems-EI_IE1425.11,24.htm"
6,Edward Jones,4,4.3,4,4,3.9,4,"https://www.glassdoor.com/Overview/Working-at-Edward-Jones-EI_IE3161.11,23.htm"
7,ULTIMATE SOFTWARE,4.5,4.7,4.5,4.4,4.7,4.4,"https://www.glassdoor.com/Overview/Working-at-Ultimate-Software-EI_IE7900.11,28.htm"
8,Texas Health Resources,3.9,3.9,3.8,3.3,4,3.7,"https://www.glassdoor.com/Overview/Working-at-Texas-Health-Resources-EI_IE7647.11,33.htm"
9,"The Boston Consulting Group, Inc.",4.1,4.2,2.9,3.8,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-Boston-Consulting-Group-EI_IE3879.11,34.htm"
10,Stryker,3.9,4,3.6,3.5,3.9,3.8,"https://www.glassdoor.com/Overview/Working-at-Stryker-EI_IE1918.11,18.htm"
11,Publix Super Markets Inc.,3.7,3.8,3.2,3.2,3.7,3.7,"https://www.glassdoor.com/Overview/Working-at-Publix-EI_IE2945.11,17.htm"
12,American Express,4,4,4,3.5,3.8,3.7,"https://www.glassdoor.com/Overview/Working-at-American-Express-EI_IE35.11,27.htm"
13,Quicken Loans,3.8,4,3,3.5,4,4,"https://www.glassdoor.com/Overview/Working-at-Quicken-Loans-EI_IE7856.11,24.htm"
14,Orrick,3.9,4,3.8,3.5,4.2,3.5,"https://www.glassdoor.com/Overview/Working-at-Orrick-EI_IE3314.11,17.htm"
15,Baird,4,4.3,4.2,3.9,4,4,"https://www.glassdoor.com/Overview/Working-at-Baird-EI_IE19350.11,16.htm"
16,"JM Family Enterprises, Inc.",3.9,3.9,4.1,3.7,4.7,3.4,"https://www.glassdoor.com/Overview/Working-at-JM-Family-Enterprises-EI_IE2850.11,32.htm"
17,Kimley-Horn,3.9,4.2,2.7,3.9,4.5,4.2,"https://www.glassdoor.com/Overview/Working-at-Kimley-Horn-EI_IE15177.11,22.htm"
18,Camden Property Trust,4.5,4.7,4.3,4.5,4.4,4.3,"https://www.glassdoor.com/Overview/Working-at-Camden-Property-Trust-EI_IE2418.11,32.htm"
19,Cooley LLP,3.5,3.6,3.3,3.2,4.2,3.5,"https://www.glassdoor.com/Overview/Working-at-Cooley-EI_IE7147.11,17.htm"
20,Plante Moran,4.3,4.6,3.9,4.2,3.5,4.3,https://www.glassdoor.com/Reviews/Plante-Moran-Reviews-E11396.htm
21,Adobe,4.1,4.2,4.1,3.7,4.2,3.7,"https://www.glassdoor.com/Overview/Working-at-Adobe-EI_IE1090.11,16.htm"
22,Veterans United Home Loans,4.4,4.8,4.3,4.4,4.4,4.2,"https://www.glassdoor.com/Overview/Working-at-Veterans-United-Home-Loans-EI_IE242421.11,37.htm"
23,Intuit Inc.,4.2,4.4,4.2,3.9,4.5,4,"https://www.glassdoor.com/Overview/Working-at-Intuit-EI_IE2293.11,17.htm"
24,The Cheesecake Factory Incorporated,3.7,3.7,3.4,3.3,3.4,3.5,"https://www.glassdoor.com/Overview/Working-at-The-Cheesecake-Factory-EI_IE2229.11,33.htm"
25,Deloitte,3.8,3.8,3,3.4,3.4,4,"https://www.glassdoor.com/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm"
26,Pinnacle Financial Partners,4.3,4.3,4.3,4.3,4.3,4.1,"https://www.glassdoor.com/Overview/Working-at-Pinnacle-Financial-Partners-EI_IE12049.11,38.htm"
27,SAP America,4.5,4.4,4.4,4,4.4,4.2,https://www.glassdoor.com/sap
28,Navy Federal Credit Union,4,4.1,3.5,3.4,4.3,3.7,"https://www.glassdoor.com/Overview/Working-at-Navy-Federal-Credit-Union-EI_IE7281.11,36.htm"
29,USAA,3.5,3.8,3.5,3,4,3.2,"https://www.glassdoor.com/Overview/Working-at-USAA-EI_IE3033.11,15.htm"
30,"Marriott International, Inc.",3.8,3.9,3.3,3.4,3.6,3.8,"https://www.glassdoor.com/Overview/Working-at-Marriott-International-EI_IE7790.11,33.htm"
31,Hyatt Hotels Corporation,3.9,3.9,3.4,3.4,3.8,3.7,"https://www.glassdoor.com/Overview/Working-at-Hyatt-EI_IE2839.11,16.htm"
32,CarMax,3.4,3.7,3.1,3.1,3.4,3.3,"https://www.glassdoor.com/Overview/Working-at-CarMax-EI_IE6561.11,17.htm"
33,Ernst & Young LLP,3.7,3.7,2.9,3.3,3.2,3.9,"https://www.glassdoor.com/Overview/Working-at-EY-EI_IE2784.11,13.htm"
34,Southern Ohio Medical Center,3.2,3.2,3.1,2.9,3.7,2.9,"https://www.glassdoor.com/Overview/Working-at-Southern-Ohio-Medical-Center-EI_IE121624.11,39.htm"
35,KPMG LLP,3.7,3.7,2.9,3.4,3.4,4.1,"https://www.glassdoor.com/Overview/Working-at-KPMG-EI_IE2867.11,15.htm"
36,"BayCare Health System, Inc.",3.9,4,3.8,3.5,4,3.9,"https://www.glassdoor.com/Overview/Working-at-BayCare-Health-System-EI_IE42499.11,32.htm"
37,NVIDIA,4.5,4.5,3.9,4.2,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-NVIDIA-EI_IE7633.11,17.htm"
38,Capital One Financial Corporation,3.8,3.9,3.9,3.2,4.1,3.5,"https://www.glassdoor.com/Overview/Working-at-Capital-One-EI_IE3736.11,22.htm"
39,Baptist Health South Florida,3.9,3.8,3.7,3.1,3.7,3.6,"https://www.glassdoor.com/Overview/Working-at-Baptist-Health-South-Florida-EI_IE7671.11,39.htm"
40,David Weekley Homes,3.9,4.2,3.6,3.6,3.9,3.5,"https://www.glassdoor.com/Overview/Working-at-David-Weekley-Homes-EI_IE6633.11,30.htm"
41,Dropbox,4.2,4.4,4.2,3.8,4.5,3.9,"https://www.glassdoor.com/Overview/Working-at-Dropbox-EI_IE415350.11,18.htm"
42,Allianz Life Insurance Company of North America,4.1,4.4,4.3,4.1,3.7,3.9,"https://www.glassdoor.com/Overview/Working-at-Allianz-Life-Insurance-Company-of-North-America-EI_IE13810.11,58.htm"
43,PricewaterhouseCoopers LLP,3.8,3.7,2.9,3.4,3.2,4,"https://www.glassdoor.com/Overview/Working-at-PwC-EI_IE8450.11,14.htm"
44,Genentech,3.9,3.8,3.8,3.2,4.2,3.3,"https://www.glassdoor.com/Overview/Working-at-Genentech-EI_IE274.11,20.htm"
45,"Recreational Equipment, Inc. (REI)",3.9,4.2,4,3.4,3.4,3.1,"https://www.glassdoor.com/Overview/Working-at-REI-EI_IE7319.11,14.htm"
46,Protiviti,3.8,3.9,3.7,3.5,3.3,3.7,"https://www.glassdoor.com/Overview/Working-at-Protiviti-EI_IE30849.11,20.htm"
47,"Slalom, LLC.",4.3,4.5,4.5,4.2,3.9,4,"https://www.glassdoor.com/Overview/Working-at-Slalom-EI_IE31102.11,17.htm"
48,"T-Mobile US, Inc.",4,4.2,3.8,3.6,4.2,3.8,"https://www.glassdoor.com/Overview/Working-at-T-Mobile-EI_IE9302.11,19.htm"
49,Red Hat,4.1,4.3,4,3.6,3.7,3.9,"https://www.glassdoor.com/Overview/Working-at-Red-Hat-EI_IE8868.11,18.htm"
50,Synchrony,3.9,4.1,4.1,3.7,3.8,3.7,"https://www.glassdoor.com/Overview/Working-at-Synchrony-EI_IE852160.11,20.htm"
51,Ryan LLC,4.3,4.3,4.4,4.1,4,4.2,"https://www.glassdoor.com/Overview/Working-at-Ryan-LLC-EI_IE26296.11,19.htm"
52,Alston & Bird LLP,4.2,4.1,3.8,3.8,3.9,3.8,"https://www.glassdoor.com/Overview/Working-at-Alston-and-Bird-EI_IE3906.11,26.htm"
53,Encompass Health - Home Health & Hospice,3.5,3.5,3.3,3.1,3.6,3.4,"https://www.glassdoor.com/Overview/Working-at-Encompass-Health-EI_IE1959649.11,27.htm"
54,American Fidelity Assurance Company,4.2,4,3.8,3.8,4.5,4.1,"https://www.glassdoor.com/Overview/Working-at-American-Fidelity-Assurance-Company-EI_IE17535.11,46.htm"
55,"World Wide Technology, LLC",3.9,4,3.9,3.8,4,3.7,https://www.glassdoor.com/Reviews/World-Wide-Technology-Reviews-E9553.htm
56,Nationwide,3.5,3.6,3.6,3,3.4,3.3,"https://www.glassdoor.com/Overview/Working-at-Nationwide-EI_IE2913.11,21.htm"
57,St. Jude Children's Research Hospital,4.6,4.7,4.6,4.3,4.6,4.3,"https://www.glassdoor.com/Overview/Working-at-St-Jude-Children-s-Research-Hospital-EI_IE28315.11,47.htm"
58,Credit Acceptance Corporation,3.8,4,4.2,3.7,4.1,3.5,"https://www.glassdoor.com/Overview/Working-at-Credit-Acceptance-EI_IE2194.11,28.htm"
59,SAS Institute Inc.,3.8,3.9,4.3,3.3,3.7,3.2,"https://www.glassdoor.com/Overview/Working-at-SAS-Institute-EI_IE3807.11,24.htm"
60,Accenture,3.8,3.9,3.4,3.4,3.7,3.8,"https://www.glassdoor.com/Overview/Working-at-Accenture-EI_IE4138.11,20.htm"
61,"The Goldman Sachs Group, Inc.",3.9,3.8,2.8,3.4,3.9,3.9,"https://www.glassdoor.com/Overview/Working-at-Goldman-Sachs-EI_IE2800.11,24.htm"
62,AbbVie,3.8,3.7,3.5,3.2,4.1,3.4,"https://www.glassdoor.com/Overview/Working-at-AbbVie-EI_IE649837.11,17.htm"
63,HubSpot,4.7,4.8,4.5,4.6,4.4,4.5,"https://www.glassdoor.com/Overview/Working-at-HubSpot-EI_IE227605.11,18.htm"
64,Oliver Wyman Group,4.3,4.4,3.2,3.9,4.2,4.1,"https://www.glassdoor.com/Overview/Working-at-Oliver-Wyman-EI_IE40206.11,23.htm"
65,Bright Horizons Family Solutions,3.1,3.3,2.9,2.6,2.8,3,"https://www.glassdoor.com/Overview/Working-at-Bright-Horizons-Family-Solutions-EI_IE6525.11,43.htm"
66,CHG Healthcare,4.5,4.6,4.6,4.4,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-CHG-Healthcare-EI_IE40836.11,25.htm"
67,Crowe,3.8,3.9,3.6,3.6,3.7,3.8,"https://www.glassdoor.com/Overview/Working-at-Crowe-EI_IE9414.11,16.htm"
68,Zillow,3.9,4.1,4.3,3.7,4.3,3.7,"https://www.glassdoor.com/Overview/Working-at-Zillow-EI_IE40802.11,17.htm"
69,Atlassian,4.4,4.5,4.4,4.1,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-Atlassian-EI_IE115699.11,20.htm"
70,Comcast NBCUniversal,3.5,3.4,3.3,3,3.8,3.4,"https://www.glassdoor.com/Overview/Working-at-Comcast-EI_IE1280.11,18.htm"
71,Hyland,3.5,3.8,4,3.2,3,3.2,"https://www.glassdoor.com/Overview/Working-at-Hyland-EI_IE9432.11,17.htm"
72,Cadence,4.1,4.2,4.2,3.8,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Cadence-Design-Systems-EI_IE1217.11,33.htm"
73,Perkins Coie LLP,3.8,3.8,3.8,3.5,4.2,3.6,"https://www.glassdoor.com/Overview/Working-at-Perkins-Coie-EI_IE3326.11,23.htm"
74,"Regeneron Pharmaceuticals, Inc.",3.7,3.6,3.3,3.3,4.1,3.6,"https://www.glassdoor.com/Overview/Working-at-Regeneron-Pharmaceuticals-EI_IE981.11,36.htm"
75,Progressive Insurance,3.8,4,3.3,3.5,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Progressive-Insurance-EI_IE546.11,32.htm"
76,Power Home Remodeling,4.6,4.8,3.7,4.7,4.6,4.7,"https://www.glassdoor.com/Overview/Working-at-Power-Home-Remodeling-EI_IE405781.11,32.htm"
77,Kronos Incorporated,4,4,4.1,3.7,4,3.7,"https://www.glassdoor.com/Overview/Working-at-Kronos-Incorporated-EI_IE2196.11,30.htm"
78,Children's Healthcare of Atlanta,3.9,4,3.7,3.2,3.7,3.5,"https://www.glassdoor.com/Overview/Working-at-Children-s-Healthcare-of-Atlanta-EI_IE24288.11,43.htm"
79,Workiva Inc.,3.9,4.1,4.1,3.7,3.8,3.6,"https://www.glassdoor.com/Overview/Working-at-Workiva-EI_IE833668.11,18.htm"
80,"Nugget Market, Inc.",3.8,4,3.6,3.8,3.8,3.5,"https://www.glassdoor.com/Overview/Working-at-Nugget-Market-EI_IE148409.11,24.htm"
81,Burns & McDonnell,3.9,3.9,3.3,3.5,3.9,3.7,"https://www.glassdoor.com/Overview/Working-at-Burns-and-McDonnell-EI_IE26324.11,30.htm"
82,First American Financial Corporation,3.5,3.6,3.6,3.2,3.2,3.2,https://www.glassdoor.com/Reviews/First-American-Reviews-E2526.htm
83,Total Quality Logistics,3.7,3.9,2.8,3.7,3.6,3.7,https://www.glassdoor.com/Reviews/Total-Quality-Logistics-Reviews-E134523.htm
84,"Sheetz, Inc.",3.6,3.7,2.9,3.1,3.8,3.6,"https://www.glassdoor.com/Overview/Working-at-Sheetz-EI_IE4015.11,17.htm"
85,Custom Ink,3.7,3.8,3.8,3.5,3.8,3.4,"https://www.glassdoor.com/Overview/Working-at-Custom-Ink-EI_IE152733.11,21.htm"
86,Atlantic Health System,3.6,3.6,3.4,3,3.5,3.5,https://www.glassdoor.com/Reviews/Atlantic-Health-System-Reviews-E17694.htm
87,Methodist Le Bonheur Healthcare,4.1,4.1,3.7,3.4,3.5,3.8,"https://www.glassdoor.com/Overview/Working-at-Methodist-Le-Bonheur-Healthcare-EI_IE4662.11,42.htm"
88,Four Seasons Hotels & Resorts,3.9,4,3.2,3.5,3.9,3.8,https://www.glassdoor.com/Reviews/Four-Seasons-Reviews-E4202.htm
89,Novo Nordisk Inc.,4,4,4,3.3,4,3.4,"https://www.glassdoor.com/Overview/Working-at-Novo-Nordisk-EI_IE3498.11,23.htm"
90,Farmers Insurance,3.4,3.3,3.3,2.9,3.4,3.2,"https://www.glassdoor.com/Overview/Working-at-Farmers-Insurance-Group-EI_IE3955.11,34.htm"
91,Bank of America,3.7,3.6,3.6,3.1,3.8,3.5,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm"
92,"Box, Inc.",4,4.3,4.3,3.7,4,3.9,"https://www.glassdoor.com/Overview/Working-at-Box-EI_IE254092.11,14.htm"
93,Alliance Data,3.3,3.3,3.3,2.8,3.7,3.1,"https://www.glassdoor.com/Overview/Working-at-Alliance-Data-EI_IE11421.11,24.htm"
94,FedEx Corporation,3.7,3.7,3.6,3.2,3.6,3.5,"https://www.glassdoor.com/Overview/Working-at-FedEx-EI_IE246.11,16.htm"
95,Activision Blizzard,3.8,3.8,3.6,3.2,3.2,3.2,"https://www.glassdoor.com/Overview/Working-at-Activision-Blizzard-EI_IE605784.11,30.htm"
96,"Delta Air Lines, Inc.",4.2,4.1,3.7,3.7,4.2,4,"https://www.glassdoor.com/Overview/Working-at-Delta-Air-Lines-EI_IE197.11,26.htm"
97,"Mars, Incorporated",3.9,4,3.8,3.3,3.9,3.6,"https://www.glassdoor.com/Overview/Working-at-Mars-EI_IE2886.11,15.htm"
98,OhioHealth,3.7,3.7,3.5,3.1,3.3,3.5,"https://www.glassdoor.com/Overview/Working-at-OhioHealth-EI_IE4657.11,21.htm"
99,Patagonia,4.3,4.5,4.2,3.8,3.9,3.3,"https://www.glassdoor.com/Overview/Working-at-Patagonia-EI_IE5474.11,20.htm"
